Country,1991,2001,2011
Argentina,135,237,345
Australia,224,302,309
Austria,155,189,253
Belgium,201,295,340
Bolivia,55,81,244
Brazil,102,141,230
Canada,166,240,259
Chile,157,332,460
China,1,9,38
Colombia,105,87,127
Egypt,17,31,53
"El Salvador",83,189,180
France,52,110,149
Germany,181,193,190
"Great Britain",87,188,210
India,N/A,4,12
Indonesia,5,18,14
Italy,90,104,137
Japan,122,169,179
Kenya,35,31,40
Mali,1,7,12
Mexico,290,460,728
Morocco,35,74,88
Nigeria,23,30,27
Pakistan,3,5,17
Panama,80,155,379
Peru,47,97,208
Philippines,90,154,129
Russia,1,20,73
South,136,176,247
"South Korea",70,72,84
Spain,156,259,287
Thailand,42,60,93
Turkey,21,67,173
"United States",292,407,403
Worldwide,44,69,92
